Transaction_ID,Transaction_Amount,Transaction_Type,Account_Age,Location_Mismatch,Device_Type,Previous_Fraud_History,Fraudulent_Transaction
1,1873.33,Withdrawal,12,0,Mobile,0,0
2,4753.62,Withdrawal,3,1,Web,0,1
3,3660.24,Withdrawal,8,0,Web,1,1
4,2993.69,Transfer,2,0,Web,0,0
5,780.94,Withdrawal,18,0,Mobile,0,0
6,780.82,Purchase,9,0,Web,0,0
7,291.36,Withdrawal,13,0,Mobile,0,0
8,4331.01,Purchase,7,1,Mobile,0,1
9,3005.97,Withdrawal,10,0,Web,0,0
10,3540.65,Withdrawal,9,0,ATM,0,0
11,103.9,Purchase,15,0,Web,0,0
12,4849.58,Withdrawal,5,1,ATM,0,1
13,4162.38,Withdrawal,12,0,Web,0,0
14,1062.48,Withdrawal,1,0,Web,1,1
15,909.94,Transfer,12,0,Mobile,0,0
16,917.84,Purchase,6,0,Mobile,0,0
17,1521.91,Withdrawal,19,0,Mobile,0,0
18,2624.26,Purchase,19,0,Mobile,0,0
19,2160.29,Purchase,16,0,Mobile,0,0
20,1456.85,Purchase,19,0,Mobile,0,0
21,3059.65,Withdrawal,3,0,Mobile,0,0
22,698.33,Withdrawal,10,0,ATM,0,0
23,1461.43,Purchase,18,0,ATM,0,0
24,1832.44,Transfer,13,0,Mobile,0,0
25,2280.89,Purchase,18,0,ATM,0,0
26,3926.09,Transfer,3,0,Web,0,1
27,999.17,Purchase,3,0,ATM,0,0
28,2571.66,Purchase,12,0,Mobile,0,0
29,2962.48,Purchase,7,0,ATM,1,1
30,233.21,Withdrawal,8,0,Web,0,0
31,3038.12,Transfer,9,0,ATM,0,0
32,853.45,Transfer,14,0,Mobile,0,0
33,326.19,Purchase,5,1,Web,0,0
34,4744.48,Withdrawal,19,0,Web,0,0
35,4828.19,Withdrawal,16,0,ATM,0,0
36,4042.18,Transfer,12,0,Web,0,0
37,1523.76,Withdrawal,4,0,Web,0,0
38,489.26,Transfer,8,0,Web,0,0
39,3421.48,Transfer,7,0,Mobile,0,0
40,2201.32,Transfer,15,1,Web,0,1
41,611.07,Withdrawal,6,0,ATM,0,0
42,2476.39,Transfer,5,0,ATM,0,0
43,172.91,Transfer,14,0,Web,0,0
44,4546.69,Purchase,13,0,ATM,0,0
45,1294.64,Transfer,10,0,Web,0,0
46,3312.95,Transfer,18,0,ATM,0,0
47,1559.24,Purchase,4,0,Web,1,1
48,2600.82,Purchase,8,0,Web,0,0
49,2734.0,Withdrawal,11,1,Web,0,0
50,925.09,Transfer,17,0,Mobile,0,0
51,4847.95,Withdrawal,18,0,ATM,0,0
52,3875.89,Withdrawal,11,0,Web,0,0
53,4697.56,Purchase,16,0,Mobile,0,1
54,4474.24,Withdrawal,12,1,Mobile,0,1
55,2989.9,Transfer,13,0,Web,0,0
56,4609.45,Purchase,16,0,Web,0,0
57,443.37,Transfer,1,0,Web,0,0
58,980.72,Transfer,16,0,Web,1,0
59,227.09,Purchase,15,0,Web,1,1
60,1627.33,Transfer,6,0,ATM,0,0
61,1944.0,Purchase,12,1,Web,0,1
62,1357.47,Transfer,8,1,Web,0,1
63,4143.86,Purchase,7,0,ATM,0,1
64,1784.41,Withdrawal,2,0,Mobile,0,0
65,1405.39,Transfer,12,0,ATM,0,0
66,2713.94,Purchase,14,0,Mobile,0,0
67,705.48,Transfer,16,0,Mobile,1,1
68,4011.18,Transfer,11,0,ATM,1,1
69,373.68,Transfer,9,0,Web,0,0
70,4934.45,Purchase,10,0,Mobile,1,1
71,3861.45,Withdrawal,17,1,Web,0,1
72,994.38,Withdrawal,12,1,ATM,0,1
73,28.61,Withdrawal,6,0,Mobile,0,0
74,4077.49,Purchase,19,1,Web,0,1
75,3534.58,Withdrawal,11,0,Mobile,0,0
76,3645.31,Purchase,9,0,Mobile,1,1
77,3856.58,Transfer,6,0,ATM,0,0
78,371.15,Transfer,16,0,Web,0,0
79,1792.97,Withdrawal,16,1,Web,0,0
80,580.23,Purchase,6,0,Mobile,0,0
81,4315.65,Transfer,5,1,Web,0,1
82,3116.87,Purchase,4,0,Mobile,0,1
83,1655.16,Purchase,2,0,ATM,0,0
84,318.73,Transfer,6,0,ATM,0,0
85,1555.6,Purchase,9,0,Web,0,0
86,1626.59,Transfer,17,0,ATM,0,0
87,3648.3,Transfer,14,0,ATM,0,0
88,3188.15,Transfer,7,0,Web,0,1
89,4436.18,Purchase,19,0,Mobile,0,1
90,2361.6,Transfer,1,0,ATM,1,1
91,598.85,Purchase,15,0,Web,0,0
92,3566.51,Transfer,18,0,Web,1,1
93,3804.16,Transfer,3,0,Web,1,1
94,2806.82,Withdrawal,18,0,ATM,1,0
95,3855.06,Withdrawal,2,1,ATM,0,1
96,2469.48,Withdrawal,10,0,Mobile,0,0
97,2614.14,Purchase,11,0,Mobile,0,0
98,2138.28,Purchase,3,1,Mobile,0,1
99,128.07,Transfer,7,1,Mobile,0,1
100,540.35,Transfer,8,1,Mobile,0,0
101,158.11,Transfer,19,0,Mobile,1,0
102,3182.42,Transfer,18,0,Web,0,0
103,1572.47,Purchase,13,0,Mobile,0,0
104,2543.34,Transfer,13,0,ATM,0,0
105,4537.92,Transfer,19,1,Mobile,0,1
106,1247.21,Withdrawal,12,0,ATM,0,0
107,2052.5,Transfer,17,0,Mobile,0,0
108,3778.0,Transfer,12,0,Web,0,0
109,1144.76,Transfer,13,0,Web,0,0
110,385.82,Purchase,12,0,ATM,0,0
111,1449.47,Withdrawal,19,0,Mobile,0,0
112,806.95,Transfer,14,1,Web,0,1
113,4648.56,Transfer,7,1,Web,0,1
114,4040.79,Withdrawal,13,0,Mobile,0,1
115,3167.39,Transfer,6,0,ATM,0,0
116,4357.43,Purchase,19,0,ATM,0,0
117,4018.56,Transfer,19,0,ATM,0,0
118,933.66,Purchase,4,1,Web,0,0
119,4462.9,Purchase,19,0,Mobile,0,0
120,2697.17,Transfer,9,0,Web,0,0
121,4037.39,Withdrawal,16,0,Web,0,0
122,4480.56,Purchase,4,0,Web,0,0
123,1590.7,Withdrawal,6,0,Web,0,0
124,551.15,Transfer,8,0,Mobile,0,0
125,1140.45,Purchase,16,0,Web,0,0
126,2136.11,Transfer,5,0,Web,0,0
127,4090.26,Withdrawal,10,0,ATM,0,1
128,4303.79,Transfer,13,1,Web,0,1
129,35.75,Transfer,14,0,Mobile,0,0
130,2554.23,Purchase,7,0,Web,0,0
131,2087.64,Transfer,6,0,Mobile,0,0
132,1111.32,Transfer,7,0,Mobile,1,1
133,600.21,Transfer,5,0,Mobile,0,0
134,1688.74,Purchase,18,1,ATM,1,1
135,4714.61,Withdrawal,12,0,ATM,0,0
136,1616.69,Withdrawal,6,0,Web,0,0
137,2594.43,Transfer,1,0,Web,0,0
138,3515.39,Purchase,4,0,Web,1,1
139,1818.78,Transfer,19,0,Mobile,0,0
140,4858.94,Withdrawal,12,1,Mobile,0,1
141,4812.27,Purchase,15,0,Mobile,0,0
142,1259.66,Withdrawal,3,0,Web,0,0
143,2486.75,Withdrawal,8,0,Web,0,0
144,1505.09,Purchase,11,0,Web,0,0
145,1424.92,Purchase,16,0,Web,0,0
146,185.4,Transfer,9,0,ATM,0,0
147,3048.21,Transfer,3,0,ATM,1,1
148,2513.89,Withdrawal,5,0,ATM,0,0
149,258.34,Purchase,14,0,Web,1,1
150,1393.95,Purchase,15,0,ATM,0,0
151,4541.42,Transfer,6,0,ATM,0,0
152,1198.57,Withdrawal,4,0,Web,0,0
153,725.33,Withdrawal,8,0,ATM,0,0
154,2447.77,Transfer,19,0,Web,0,0
155,4928.27,Purchase,5,0,Web,0,0
156,1211.03,Transfer,13,0,Web,0,0
157,3361.01,Transfer,16,1,Mobile,0,1
158,3808.34,Transfer,1,0,Web,0,0
159,1188.95,Transfer,13,0,ATM,0,0
160,3641.35,Purchase,11,0,ATM,1,1
161,1839.55,Transfer,8,0,Web,0,0
162,3161.9,Purchase,8,0,Mobile,0,0
163,3168.02,Transfer,14,0,Mobile,0,0
164,2679.34,Withdrawal,13,0,Mobile,0,0
165,452.36,Purchase,3,0,ATM,0,0
166,4176.68,Withdrawal,4,0,Mobile,1,1
167,1604.58,Transfer,15,0,Mobile,0,0
168,933.41,Transfer,15,0,Web,0,0
169,204.83,Transfer,13,0,Mobile,0,0
170,2954.87,Purchase,9,0,Mobile,0,0
171,3388.14,Withdrawal,10,0,Mobile,1,1
172,83.92,Purchase,12,0,Web,0,0
173,2560.95,Purchase,14,0,Web,0,0
174,1133.25,Transfer,1,0,Mobile,0,0
175,3226.22,Withdrawal,14,0,ATM,0,0
176,872.66,Transfer,14,1,ATM,0,1
177,3455.0,Purchase,8,0,Web,0,0
178,1934.29,Transfer,16,0,Mobile,0,0
179,4683.71,Withdrawal,14,0,ATM,1,1
180,688.47,Transfer,1,0,Mobile,0,0
181,1705.99,Withdrawal,16,0,Web,0,0
182,568.25,Withdrawal,18,0,ATM,0,0
183,4623.54,Transfer,7,0,Web,0,0
184,4386.82,Purchase,15,1,Mobile,0,0
185,1290.45,Transfer,17,0,Web,0,0
186,3300.26,Purchase,19,0,Web,1,1
187,4086.29,Purchase,13,0,Web,0,0
188,2776.45,Transfer,9,1,Web,0,0
189,2648.72,Purchase,15,1,ATM,0,1
190,1210.02,Purchase,3,0,Mobile,1,0
191,466.42,Transfer,1,0,ATM,0,0
192,4486.18,Transfer,16,0,Mobile,0,1
193,4502.19,Transfer,8,0,Mobile,0,1
194,3165.87,Purchase,13,0,Mobile,0,0
195,1695.81,Withdrawal,8,0,Mobile,1,0
196,1746.7,Purchase,17,1,Mobile,0,0
197,3630.05,Withdrawal,14,0,ATM,0,0
198,4485.65,Transfer,7,0,Mobile,0,0
199,4435.55,Withdrawal,15,0,Web,0,0
